id,name,img
1,Back To School,http://www.gordonsinclair.com/core/media/media.nl?id=1189415&c=560765&h=e0afc2692fe168225961
2,Essential Workers,http://www.gordonsinclair.com/core/media/media.nl?id=6610000&c=560765&h=f1ce74a85742a4463354
3,Fidget Spinner Blowout Eblast,http://www.gordonsinclair.com/site/images/FlyersandEblasts/fidget-spinner-Eblast-Flyer_blowout-special-2017_GS.jpg
4,Mini Pro Stylus,http://www.gordonsinclair.com/core/media/media.nl?id=6619617&c=560765&h=c58216d098f62bcbec6a
5,Preventative Products,http://www.gordonsinclair.com/core/media/media.nl?id=6602495&c=560765&h=79f3658c7afc50de4a5f
6,Q1 Special,http://www.gordonsinclair.com/core/media/media.nl?id=6354080&c=560765&h=516bc54b106e998660e3
7,Q1 Specials,http://www.gordonsinclair.com/core/media/media.nl?id=6354081&c=560765&h=8428769ece6013b428c6
8,SERENDIPITY,http://www.gordonsinclair.com/core/media/media.nl?id=1410524&c=560765&h=d2dd5545c9b3fb62b172
9,Think Pink,http://www.gordonsinclair.com/core/media/media.nl?id=6667715&c=560765&h=a016bb0fd5a6b76db859
10,Valentines Day Flyer,http://www.gordonsinclair.com/core/media/media.nl?id=3417864&c=560765&h=ceb9b442a80994fd5542
11,Work From Home,http://www.gordonsinclair.com/core/media/media.nl?id=6578208&c=560765&h=65e06e829ed3dae18e78
